timestamp,subcarrier_index,magnitude
60.5583,57,22.3607
60.5583,58,22.3607
60.5583,59,23.2594
60.5583,60,22.3607
60.5583,61,25.0799
60.5583,62,24.6982
60.5583,63,25.4951
60.644,0,69.857
60.644,1,1.0
60.644,2,26.0768
60.644,3,26.0192
60.644,4,26.0192
60.644,5,25.02
60.644,6,25.0799
60.644,7,25.1794
60.644,8,24.0832
60.644,9,24.1868
60.644,10,23.3452
60.644,11,23.7697
60.644,12,23.7697
60.644,13,24.0416
60.644,14,24.0416
60.644,15,23.7697
60.644,16,24.7386
60.644,17,23.7697
60.644,18,23.5372
60.644,19,22.3607
60.644,20,22.3607
60.644,21,22.3607
60.644,22,21.095
60.644,23,21.095
60.644,24,21.095
60.644,25,20.025
60.644,26,20.025
60.644,27,0.0
60.644,28,0.0
60.644,29,0.0
60.644,30,0.0
60.644,31,0.0
60.644,32,0.0
60.644,33,0.0
60.644,34,0.0
60.644,35,0.0
60.644,36,0.0
60.644,37,0.0
60.644,38,11.6619
60.644,39,13.0
60.644,40,13.9284
60.644,41,13.9284
60.644,42,14.5602
60.644,43,16.1245
60.644,44,16.1245
60.644,45,17.0294
60.644,46,17.0294
60.644,47,19.0
60.644,48,20.0
60.644,49,20.025
60.644,50,20.0
60.644,51,20.025
60.644,52,20.0998
60.644,53,22.0227
60.644,54,21.095
60.644,55,21.095
60.644,56,22.0227
60.644,57,23.0
60.644,58,23.0
60.644,59,24.0
60.644,60,24.0
60.644,61,26.0768
60.644,62,26.0768
60.644,63,26.0192
60.6441,0,69.857
60.6441,1,1.0
60.6441,2,24.0
60.6441,3,24.0208
60.6441,4,24.0
60.6441,5,23.0
60.6441,6,23.0217
60.6441,7,23.0217
60.6441,8,22.0907
60.6441,9,21.095
60.6441,10,22.3607
60.6441,11,22.561
60.6441,12,20.6155
60.6441,13,21.587
60.6441,14,22.8035
60.6441,15,21.8403
60.6441,16,21.8403
60.6441,17,22.8035
60.6441,18,21.3776
60.6441,19,21.3776
60.6441,20,20.3961
60.6441,21,20.2237
60.6441,22,19.105
60.6441,23,19.105
60.6441,24,19.0263
60.6441,25,18.0278
60.6441,26,18.0278
60.6441,27,0.0
60.6441,28,0.0
60.6441,29,0.0
60.6441,30,0.0
60.6441,31,0.0
60.6441,32,0.0
60.6441,33,0.0
60.6441,34,0.0
60.6441,35,0.0
60.6441,36,0.0
60.6441,37,0.0
60.6441,38,10.7703
60.6441,39,11.7047
60.6441,40,12.3693
60.6441,41,13.3417
60.6441,42,14.1421
60.6441,43,14.0357
60.6441,44,16.0
60.6441,45,16.0
60.6441,46,17.0294
60.6441,47,18.1108
60.6441,48,19.105
60.6441,49,19.105
60.6441,50,18.2483
60.6441,51,19.2354
60.6441,52,18.2483
60.6441,53,20.3961
60.6441,54,19.4165
60.6441,55,20.3961
60.6441,56,20.2237
60.6441,57,21.095
60.6441,58,21.095
60.6441,59,22.0227
60.6441,60,23.1948
60.6441,61,24.0208
60.6441,62,24.0
60.6441,63,25.02
60.7901,0,69.857
60.7901,1,1.0
60.7901,2,25.4951
60.7901,3,26.2488
60.7901,4,24.7588
60.7901,5,25.4951
60.7901,6,24.2074
60.7901,7,25.0
60.7901,8,24.2074
60.7901,9,22.2036
60.7901,10,23.0217
60.7901,11,23.3238
60.7901,12,23.3238
60.7901,13,23.3238
60.7901,14,23.7065
60.7901,15,22.8254
60.7901,16,24.1868
60.7901,17,23.3238
60.7901,18,23.3238
60.7901,19,22.4722
60.7901,20,21.6333
60.7901,21,21.6333
60.7901,22,20.0
60.7901,23,20.0
60.7901,24,20.6155
60.7901,25,19.105
60.7901,26,19.105
60.7901,27,0.0
60.7901,28,0.0
60.7901,29,0.0
60.7901,30,0.0
60.7901,31,0.0
60.7901,32,0.0
60.7901,33,0.0
60.7901,34,0.0
60.7901,35,0.0
60.7901,36,0.0
60.7901,37,0.0
60.7901,38,11.7047
60.7901,39,13.4164
60.7901,40,13.8924
60.7901,41,15.2643
60.7901,42,14.4222
60.7901,43,16.4012
60.7901,44,17.0294
60.7901,45,17.6918
60.7901,46,18.3848
60.7901,47,19.105
60.7901,48,19.8494
60.7901,49,19.8494
60.7901,50,20.6155
60.7901,51,20.6155
60.7901,52,20.6155
60.7901,53,21.2603
60.7901,54,21.4009
60.7901,55,21.4009
60.7901,56,22.6716
60.7901,57,22.6274
60.7901,58,24.0416
60.7901,59,23.3452
60.7901,60,23.3452
60.7901,61,26.1725
60.7901,62,25.4951
60.7901,63,25.4558
60.8568,0,69.857
60.8568,1,1.0
60.8568,2,24.5153
60.8568,3,24.7386
60.8568,4,23.5372
60.8568,5,24.5153
60.8568,6,23.5372
60.8568,7,23.3452
60.8568,8,22.2036
60.8568,9,22.0907
60.8568,10,22.0227
60.8568,11,22.0227
60.8568,12,22.0
60.8568,13,22.0
60.8568,14,22.0227
60.8568,15,22.0227
60.8568,16,23.0217
60.8568,17,23.0
60.8568,18,23.0
60.8568,19,21.0
60.8568,20,21.0238
60.8568,21,20.025
60.8568,22,19.105
60.8568,23,19.105
60.8568,24,19.2354
60.8568,25,18.4391
60.8568,26,18.0278
60.8568,27,0.0
60.8568,28,0.0
60.8568,29,0.0
60.8568,30,0.0
60.8568,31,0.0
60.8568,32,0.0
60.8568,33,0.0
60.8568,34,0.0
60.8568,35,0.0
60.8568,36,0.0
60.8568,37,0.0
60.8568,38,11.1803
60.8568,39,12.0416
60.8568,40,12.0416
60.8568,41,13.0
60.8568,42,14.0357
60.8568,43,15.1327
60.8568,44,15.2971
60.8568,45,16.4924
60.8568,46,16.7631
60.8568,47,17.088
60.8568,48,18.3848
60.8568,49,18.3848
60.8568,50,18.7883
60.8568,51,18.3848
60.8568,52,18.7883
60.8568,53,20.2485
60.8568,54,19.6977
60.8568,55,19.3132
60.8568,56,20.2485
60.8568,57,21.8403
60.8568,58,22.1359
60.8568,59,22.8035
60.8568,60,22.1359
60.8568,61,24.0416
60.8568,62,25.0
60.8568,63,24.7386
60.8568,0,69.857
60.8568,1,1.0
60.8568,2,15.2971
60.8568,3,16.2788
60.8568,4,15.2971
60.8568,5,15.5242
60.8568,6,15.5242
60.8568,7,14.5602
60.8568,8,14.8661
60.8568,9,13.9284
60.8568,10,13.9284
60.8568,11,14.3178
60.8568,12,14.7648
60.8568,13,14.3178
60.8568,14,14.7648
60.8568,15,13.4164
60.8568,16,14.3178
60.8568,17,14.3178
60.8568,18,14.3178
60.8568,19,14.3178
60.8568,20,13.4164
60.8568,21,13.0
60.8568,22,13.0
60.8568,23,13.0
60.8568,24,12.6491
60.8568,25,12.3693
60.8568,26,12.1655
60.8568,27,0.0
60.8568,28,0.0
60.8568,29,0.0
60.8568,30,0.0
60.8568,31,0.0
60.8568,32,0.0
60.8568,33,0.0
60.8568,34,0.0
60.8568,35,0.0
60.8568,36,0.0
60.8568,37,0.0
60.8568,38,7.2111
60.8568,39,7.6158
60.8568,40,7.6158
60.8568,41,9.4868
60.8568,42,9.2195
60.8568,43,10.198
60.8568,44,10.198
60.8568,45,11.0454
60.8568,46,11.0454
60.8568,47,11.0454
60.8568,48,12.0
60.8568,49,12.0416
60.8568,50,12.0
60.8568,51,12.0
60.8568,52,12.0
60.8568,53,12.0
60.8568,54,13.0
60.8568,55,12.0
60.8568,56,14.0357
60.8568,57,14.0357
60.8568,58,14.1421
60.8568,59,14.1421
60.8568,60,14.1421
60.8568,61,15.2971
60.8568,62,15.2971
60.8568,63,16.2788
60.9297,0,69.857
60.9297,1,1.0
60.9297,2,24.0208
60.9297,3,25.0
60.9297,4,25.0
60.9297,5,24.0208
60.9297,6,24.0208
60.9297,7,24.0832
60.9297,8,23.1948
60.9297,9,22.2036
60.9297,10,22.3607
60.9297,11,23.5372
60.9297,12,22.8035
60.9297,13,22.8035
60.9297,14,22.8035
60.9297,15,22.8035
60.9297,16,23.7697
60.9297,17,23.7697
60.9297,18,23.5372
60.9297,19,22.561
60.9297,20,21.3776
60.9297,21,21.3776
60.9297,22,20.2237
60.9297,23,20.2237
60.9297,24,20.0998
60.9297,25,19.0263
60.9297,26,19.0263
60.9297,27,0.0
60.9297,28,0.0
60.9297,29,0.0
60.9297,30,0.0
60.9297,31,0.0
60.9297,32,0.0
60.9297,33,0.0
60.9297,34,0.0
60.9297,35,0.0
60.9297,36,0.0
60.9297,37,0.0
60.9297,38,11.7047
60.9297,39,12.6491
60.9297,40,12.3693
60.9297,41,14.1421
60.9297,42,14.1421
60.9297,43,16.0312
60.9297,44,16.0
60.9297,45,17.0
60.9297,46,17.0294
60.9297,47,18.1108
60.9297,48,20.0998
60.9297,49,19.2354
60.9297,50,20.2237
60.9297,51,19.2354
60.9297,52,19.4165
60.9297,53,20.2237
60.9297,54,20.2237
60.9297,55,20.2237
60.9297,56,21.095
60.9297,57,22.0227
60.9297,58,22.0227
60.9297,59,23.0217
60.9297,60,23.0217
60.9297,61,25.0
60.9297,62,25.0
60.9297,63,25.02
60.9339,0,69.857
60.9339,1,1.0
60.9339,2,24.2074
60.9339,3,24.2074
60.9339,4,24.2074
60.9339,5,23.4307
60.9339,6,23.3452
60.9339,7,23.3452
60.9339,8,22.6274
60.9339,9,22.6274
60.9339,10,22.6716
60.9339,11,22.0227
60.9339,12,22.2036
60.9339,13,22.0227
60.9339,14,22.2036
60.9339,15,22.8035
60.9339,16,22.2036
60.9339,17,22.8035
60.9339,18,22.0227
60.9339,19,22.0227
60.9339,20,21.2603
60.9339,21,20.6155
60.9339,22,19.799
60.9339,23,20.5183
60.9339,24,19.8494
60.9339,25,18.4391
60.9339,26,18.6011
60.9339,27,0.0
60.9339,28,0.0
60.9339,29,0.0
60.9339,30,0.0
60.9339,31,0.0
60.9339,32,0.0
60.9339,33,0.0
60.9339,34,0.0
60.9339,35,0.0
60.9339,36,0.0
60.9339,37,0.0
60.9339,38,11.6619
60.9339,39,12.2066
60.9339,40,12.8062
60.9339,41,13.4536
60.9339,42,14.1421
60.9339,43,14.2127
60.9339,44,15.6205
60.9339,45,16.4012
60.9339,46,16.6433
60.9339,47,18.0278
