timestamp,subcarrier_index,I,Q,magnitude,phase_deg
727.677421,40,-6,9,10.817,123.69
727.677421,41,-5,8,9.434,122.005
727.677421,42,-5,9,10.296,119.055
727.677421,43,-7,8,10.63,131.186
727.677421,44,-7,8,10.63,131.186
727.677421,45,-7,6,9.22,139.399
727.677421,46,-7,5,8.602,144.462
727.677421,47,-5,4,6.403,141.34
727.677421,48,-3,5,5.831,120.964
727.677421,49,-2,6,6.325,108.435
727.677421,50,-3,5,5.831,120.964
727.677421,51,-4,4,5.657,135.0
727.677421,52,-3,3,4.243,135.0
727.677421,53,-2,2,2.828,135.0
727.677421,54,-1,2,2.236,116.565
727.677421,55,0,1,1.0,90.0
727.677421,56,1,-1,1.414,-45.0
727.677421,57,1,-2,2.236,-63.435
727.677421,58,1,-2,2.236,-63.435
727.677421,59,1,-2,2.236,-63.435
727.677421,60,2,-2,2.828,-45.0
727.677421,61,2,-3,3.606,-56.31
727.677421,62,2,-5,5.385,-68.199
727.677421,63,3,-6,6.708,-63.435
727.880664,0,0,0,0.0,0.0
727.880664,1,-5,8,9.434,122.005
727.880664,2,-4,7,8.062,119.745
727.880664,3,-2,6,6.325,108.435
727.880664,4,0,6,6.0,90.0
727.880664,5,2,7,7.28,74.055
727.880664,6,1,9,9.055,83.66
727.880664,7,-1,11,11.045,95.194
727.880664,8,0,11,11.0,90.0
727.880664,9,1,12,12.042,85.236
727.880664,10,3,14,14.318,77.905
727.880664,11,4,14,14.56,74.055
727.880664,12,5,12,13.0,67.38
727.880664,13,6,12,13.416,63.435
727.880664,14,7,14,15.652,63.435
727.880664,15,8,15,17.0,61.928
727.880664,16,9,17,19.235,62.103
727.880664,17,10,18,20.591,60.945
727.880664,18,9,17,19.235,62.103
727.880664,19,8,17,18.788,64.799
727.880664,20,8,18,19.698,66.038
727.880664,21,8,18,19.698,66.038
727.880664,22,6,19,19.925,72.474
727.880664,23,4,20,20.396,78.69
727.880664,24,3,19,19.235,81.027
727.880664,25,2,17,17.117,83.29
727.880664,26,2,16,16.125,82.875
727.880664,27,0,0,0.0,0.0
727.880664,28,0,0,0.0,0.0
727.880664,29,0,0,0.0,0.0
727.880664,30,0,0,0.0,0.0
727.880664,31,0,0,0.0,0.0
727.880664,32,0,0,0.0,0.0
727.880664,33,0,0,0.0,0.0
727.880664,34,0,0,0.0,0.0
727.880664,35,0,0,0.0,0.0
727.880664,36,0,0,0.0,0.0
727.880664,37,0,0,0.0,0.0
727.880664,38,7,-9,11.402,-52.125
727.880664,39,7,-9,11.402,-52.125
727.880664,40,5,-8,9.434,-57.995
727.880664,41,4,-9,9.849,-66.038
727.880664,42,5,-9,10.296,-60.945
727.880664,43,6,-10,11.662,-59.036
727.880664,44,7,-9,11.402,-52.125
727.880664,45,7,-7,9.899,-45.0
727.880664,46,4,-7,8.062,-60.255
727.880664,47,1,-7,7.071,-81.87
727.880664,48,2,-6,6.325,-71.565
727.880664,49,3,-6,6.708,-63.435
727.880664,50,4,-5,6.403,-51.34
727.880664,51,3,-5,5.831,-59.036
727.880664,52,2,-4,4.472,-63.435
727.880664,53,2,-1,2.236,-26.565
727.880664,54,1,-1,1.414,-45.0
727.880664,55,0,-1,1.0,-90.0
727.880664,56,-1,-1,1.414,-135.0
727.880664,57,-3,-1,3.162,-161.565
727.880664,58,-4,0,4.0,180.0
727.880664,59,-4,1,4.123,165.964
727.880664,60,-3,3,4.243,135.0
727.880664,61,0,5,5.0,90.0
727.880664,62,1,6,6.083,80.538
727.880664,63,1,5,5.099,78.69
727.983043,0,0,0,0.0,0.0
727.983043,1,-6,-4,7.211,-146.31
727.983043,2,-6,-3,6.708,-153.435
727.983043,3,-6,-1,6.083,-170.538
727.983043,4,-8,1,8.062,172.875
727.983043,5,-8,2,8.246,165.964
727.983043,6,-10,2,10.198,168.69
727.983043,7,-13,1,13.038,175.601
727.983043,8,-13,2,13.153,171.254
727.983043,9,-13,4,13.601,162.897
727.983043,10,-14,7,15.652,153.435
727.983043,11,-14,9,16.643,147.265
727.983043,12,-14,9,16.643,147.265
727.983043,13,-14,9,16.643,147.265
727.983043,14,-14,10,17.205,144.462
727.983043,15,-16,12,20.0,143.13
727.983043,16,-18,12,21.633,146.31
727.983043,17,-16,11,19.416,145.491
727.983043,18,-15,10,18.028,146.31
727.983043,19,-18,10,20.591,150.945
727.983043,20,-19,9,21.024,154.654
727.983043,21,-19,9,21.024,154.654
727.983043,22,-20,9,21.932,155.772
727.983043,23,-19,8,20.616,157.166
727.983043,24,-18,8,19.698,156.038
727.983043,25,-19,8,20.616,157.166
727.983043,26,-21,8,22.472,159.146
727.983043,27,0,0,0.0,0.0
727.983043,28,0,0,0.0,0.0
727.983043,29,0,0,0.0,0.0
727.983043,30,0,0,0.0,0.0
727.983043,31,0,0,0.0,0.0
727.983043,32,0,0,0.0,0.0
727.983043,33,0,0,0.0,0.0
727.983043,34,0,0,0.0,0.0
727.983043,35,0,0,0.0,0.0
727.983043,36,0,0,0.0,0.0
727.983043,37,0,0,0.0,0.0
727.983043,38,12,3,12.369,14.036
727.983043,39,11,3,11.402,15.255
727.983043,40,10,3,10.44,16.699
727.983043,41,9,3,9.487,18.435
727.983043,42,9,4,9.849,23.962
727.983043,43,8,6,10.0,36.87
727.983043,44,6,7,9.22,49.399
727.983043,45,3,7,7.616,66.801
727.983043,46,3,7,7.616,66.801
727.983043,47,5,7,8.602,54.462
727.983043,48,4,4,5.657,45.0
727.983043,49,4,3,5.0,36.87
727.983043,50,6,3,6.708,26.565
727.983043,51,6,2,6.325,18.435
727.983043,52,4,0,4.0,0.0
727.983043,53,3,0,3.0,0.0
727.983043,54,0,0,0.0,0.0
727.983043,55,-1,-1,1.414,-135.0
727.983043,56,0,-2,2.0,-90.0
727.983043,57,0,-2,2.0,-90.0
727.983043,58,0,-3,3.0,-90.0
727.983043,59,-1,-3,3.162,-108.435
727.983043,60,-3,-2,3.606,-146.31
727.983043,61,-4,-2,4.472,-153.435
727.983043,62,-4,-2,4.472,-153.435
727.983043,63,-3,-1,3.162,-161.565
729.212787,0,0,0,0.0,0.0
729.212787,1,11,-10,14.866,-42.274
729.212787,2,11,-9,14.213,-39.289
729.212787,3,11,-9,14.213,-39.289
729.212787,4,11,-9,14.213,-39.289
729.212787,5,11,-9,14.213,-39.289
729.212787,6,11,-8,13.601,-36.027
729.212787,7,11,-9,14.213,-39.289
729.212787,8,11,-9,14.213,-39.289
729.212787,9,10,-9,13.454,-41.987
729.212787,10,10,-9,13.454,-41.987
729.212787,11,10,-10,14.142,-45.0
729.212787,12,11,-10,14.866,-42.274
729.212787,13,11,-9,14.213,-39.289
729.212787,14,11,-10,14.866,-42.274
729.212787,15,12,-10,15.62,-39.806
729.212787,16,12,-10,15.62,-39.806
729.212787,17,12,-10,15.62,-39.806
729.212787,18,13,-10,16.401,-37.569
729.212787,19,13,-9,15.811,-34.695
729.212787,20,13,-9,15.811,-34.695
729.212787,21,12,-8,14.422,-33.69
729.212787,22,12,-8,14.422,-33.69
729.212787,23,12,-7,13.892,-30.256
729.212787,24,12,-7,13.892,-30.256
729.212787,25,11,-7,13.038,-32.471
729.212787,26,11,-6,12.53,-28.61
729.212787,27,0,0,0.0,0.0
729.212787,28,0,0,0.0,0.0
729.212787,29,0,0,0.0,0.0
729.212787,30,0,0,0.0,0.0
729.212787,31,0,0,0.0,0.0
729.212787,32,0,0,0.0,0.0
729.212787,33,0,0,0.0,0.0
729.212787,34,0,0,0.0,0.0
729.212787,35,0,0,0.0,0.0
729.212787,36,0,0,0.0,0.0
729.212787,37,0,0,0.0,0.0
729.212787,38,4,-6,7.211,-56.31
729.212787,39,5,-5,7.071,-45.0
729.212787,40,5,-5,7.071,-45.0
729.212787,41,5,-5,7.071,-45.0
729.212787,42,6,-4,7.211,-33.69
729.212787,43,6,-3,6.708,-26.565
729.212787,44,6,-3,6.708,-26.565
729.212787,45,6,-4,7.211,-33.69
729.212787,46,7,-3,7.616,-23.199
729.212787,47,7,-4,8.062,-29.745
729.212787,48,7,-4,8.062,-29.745
729.212787,49,8,-5,9.434,-32.005
729.212787,50,8,-4,8.944,-26.565
729.212787,51,8,-5,9.434,-32.005
729.212787,52,8,-5,9.434,-32.005
729.212787,53,9,-5,10.296,-29.055
729.212787,54,9,-5,10.296,-29.055
729.212787,55,10,-6,11.662,-30.964
729.212787,56,10,-6,11.662,-30.964
729.212787,57,10,-6,11.662,-30.964
729.212787,58,10,-6,11.662,-30.964
729.212787,59,11,-8,13.601,-36.027
729.212787,60,11,-9,14.213,-39.289
729.212787,61,11,-9,14.213,-39.289
729.212787,62,12,-10,15.62,-39.806
729.212787,63,12,-11,16.279,-42.51
729.470176,0,0,0,0.0,0.0
729.470176,1,4,9,9.849,66.038
729.470176,2,4,9,9.849,66.038
729.470176,3,4,9,9.849,66.038
729.470176,4,4,8,8.944,63.435
729.470176,5,4,8,8.944,63.435
729.470176,6,2,9,9.22,77.471
729.470176,7,2,8,8.246,75.964
729.470176,8,1,8,8.062,82.875
729.470176,9,0,8,8.0,90.0
729.470176,10,-1,7,7.071,98.13
